country_code,country_name,event_name,event_category,event_subcategory,event_anchor_date,window_days,indicator_group,indicator_slug,indicator_name,indicator_frequency,before_mean,after_mean,absolute_change,percentage_change,historical_std,standardized_change,abs_standardized_change,nearby_event_count,contamination_level,nearby_event_names,is_contaminated_window
ARG,Argentina,Eleicao Milei,politics,election,2023-11-19,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,262.8538461538462,902.0459770114944,639.1921308576482,243.173969188769,454.1485414111028,1.407451687220197,1.407451687220197,,,,
BRA,Brazil,Crise Joesley Day,politics,political_crisis,2017-05-17,30,inflation,ipca,IPCA,monthly,0.31,-0.23,-0.54,-174.1935483870968,0.3868709075835759,-1.3958144420134346,1.3958144420134346,0.0,baixa,,False
BRA,Brazil,Eleicao Lula,politics,election,2022-10-30,90,inflation,ipca,IPCA,monthly,-0.0199999999999999,0.52,0.54,2700.0000000000027,0.3868709075835759,1.3958144420134346,1.3958144420134346,3.0,alta,Anuncio de Fernando Haddad na Fazenda; Aprovacao da PEC da Transicao; Atos de 8 de janeiro,True
BRA,Brazil,Aprovacao da PEC dos Precatorios,economy,fiscal_social,2021-12-02,365,gasoline,gasolina,Gasolina,monthly,13.5,9.508333333333333,-3.991666666666667,-29.567901234567906,2.8754210401054223,-1.388202496605617,1.388202496605617,,,,
ARG,Argentina,Primarias com Milei forte,politics,election,2023-08-16,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,390.5210727969349,1072.4827586206898,681.9616858237549,174.62865215940982,495.6110040341538,1.376001905269963,1.376001905269963,,,,
ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023-08-14,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,387.7153846153846,1067.904214559387,680.1888299440022,175.43508896835564,495.6110040341538,1.37242479365355,1.37242479365355,,,,
ARG,Argentina,Greve geral contra reformas,society,social_reaction,2024-01-24,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,353.6475095785441,968.6513409961684,615.0038314176245,173.90305735520354,454.1485414111028,1.3541909206770144,1.3541909206770144,,,,
BRA,Brazil,Choque global da guerra na Ucrania,external_shock,energy_inflation,2022-02-24,365,gasoline,gasolina,Gasolina,monthly,12.949999999999998,9.058333333333334,-3.891666666666664,-30.05148005148004,2.8754210401054223,-1.3534249810330323,1.3534249810330323,,,,
ARG,Argentina,Eleicao Milei,politics,election,2023-11-19,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,536.1038461538461,1172.984674329502,636.8808281756559,118.79803376618374,495.6110040341538,1.2850417423979692,1.2850417423979692,,,,
ARG,Argentina,Pacote Caputo e forte desvalorizacao,economy,exchange_rate_inflation,2023-12-12,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,575.9540229885057,1180.7854406130268,604.8314176245211,105.01383677922357,495.6110040341538,1.22037527960707,1.22037527960707,,,,
ARG,Argentina,Pacote Caputo e forte desvalorizacao,economy,exchange_rate_inflation,2023-12-12,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,340.5078125,892.421875,551.9140625,162.0855799013422,454.1485414111028,1.2152721239291575,1.2152721239291575,7.0,alta,Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara,True
ARG,Argentina,Desvalorizacao inicial do peso,economy,exchange_rate_inflation,2023-12-16,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,586.8084291187739,1182.1346153846157,595.3261862658416,101.45153967196056,495.6110040341538,1.20119646541346,1.20119646541346,,,,
ARG,Argentina,DNU de desregulacao de Milei,economy,economic_policy,2023-12-20,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,591.919540229885,1184.0996168582376,592.1800766283526,100.0440155089941,495.6110040341538,1.1948485239596174,1.1948485239596174,,,,
ARG,Argentina,Desvalorizacao inicial do peso,economy,exchange_rate_inflation,2023-12-16,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,355.0692307692308,895.2945736434109,540.2253428741801,152.14648188575015,454.1485414111028,1.1895344664008491,1.1895344664008491,8.0,alta,Pacote Caputo e forte desvalorizacao; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara; Aprovacao da Lei Bases no Senado,True
ARG,Argentina,DNU de desregulacao de Milei,economy,economic_policy,2023-12-20,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,365.5234375,897.3203125,531.796875,145.4891315963836,454.1485414111028,1.1709756313377844,1.1709756313377844,8.0,alta,Desvalorizacao inicial do peso; Pacote Caputo e forte desvalorizacao; Eleicao Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara; Aprovacao da Lei Bases no Senado,True
ARG,Argentina,Primarias com Milei forte,politics,election,2023-08-16,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,207.16858237547893,738.1915708812261,531.0229885057472,256.32409239703355,454.1485414111028,1.1692715930690534,1.1692715930690534,,,,
ARG,Argentina,Desvalorizacao pos-PASO,economy,exchange_rate_inflation,2023-08-14,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,205.69230769230768,733.4789272030652,527.7866195107574,256.5903535392613,454.1485414111028,1.1621453585887358,1.1621453585887358,,,,
ARG,Argentina,Eleicao Milei,politics,election,2023-11-19,180,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,323.4418604651163,822.7538461538461,499.3119856887298,154.3745713590407,454.1485414111028,1.0994464149049072,1.0994464149049072,7.0,alta,Pacote Caputo e forte desvalorizacao; Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara,True
ARG,Argentina,Pacote Caputo e forte desvalorizacao,economy,exchange_rate_inflation,2023-12-12,90,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,371.9375,868.03125,496.09375,133.38094437909595,454.1485414111028,1.092360108563968,1.092360108563968,4.0,alta,Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas,True
ARG,Argentina,Aprovacao inicial da Lei Bases na Camara,economy,fiscal_social,2024-04-30,365,exchange_rate,dolar_oficial,Dolar oficial Argentina,daily,534.7241379310345,1025.6015325670498,490.8773946360153,91.8001189426997,454.1485414111028,1.0808740970757955,1.0808740970757955,,,,
ARG,Argentina,Greve geral contra reformas,society,social_reaction,2024-01-24,365,exchange_rate,dolar_blue,Dolar blue Argentina,daily,661.7701149425287,1196.1302681992338,534.3601532567051,80.74709649031394,495.6110040341538,1.0781846022528607,1.0781846022528607,,,,
