event_id,country_code,event_name,term,rows,start_date,end_date,mean_interest,max_interest,max_z_score
BRA_2020_03_11,BRA,Pandemia Covid,pandemia covid brasil,53,2019-09-08,2020-09-06,5.943396226415095,19,2.0079998974832516
BRA_2020_04_02,BRA,Auxilio emergencial,auxilio emergencial,53,2019-09-29,2020-09-27,16.71698113207547,100,3.352553113930464
BRA_2020_04_02,BRA,Auxilio emergencial,caixa auxilio,53,2019-09-29,2020-09-27,2.5660377358490565,33,5.306954796690435
BRA_2020_04_02,BRA,Auxilio emergencial,coronavirus auxilio,53,2019-09-29,2020-09-27,0.09433962264150944,2,5.42979363876175
BRA_2021_2022,BRA,Alta dos combustiveis,gasolina brasil,156,2020-07-05,2023-06-25,9.217948717948717,63,7.970605172829137
BRA_2021_2022,BRA,Alta dos combustiveis,preco combustivel,156,2020-07-05,2023-06-25,1.5,7,6.048255562460734
BRA_2021_2022,BRA,Alta dos combustiveis,preco gasolina,156,2020-07-05,2023-06-25,11.070512820512821,100,7.673125337371233
BRA_2022_06_23,BRA,Teto do ICMS dos combustiveis,teto do icms dos combustiveis,53,2021-12-19,2022-12-18,1.8867924528301887,100,7.211102550927977
BRA_2022_06_23,BRA,Teto do ICMS dos combustiveis,teto do icms dos combustiveis brasil,53,2021-12-19,2022-12-18,0.0,0,
BRA_2023_01_08,BRA,Atos de 8 de janeiro,8 de janeiro,52,2022-07-10,2023-07-02,16.51923076923077,100,4.501361325411679
BRA_2023_01_08,BRA,Atos de 8 de janeiro,atos antidemocraticos,52,2022-07-10,2023-07-02,0.28846153846153844,5,5.769899132182723
BRA_2023_01_08,BRA,Atos de 8 de janeiro,invasao brasilia,52,2022-07-10,2023-07-02,1.3846153846153846,57,7.115990074057786
USA_2020_03_27,USA,CARES Act,cares act,52,2019-09-29,2020-09-20,18.942307692307693,100,3.4990990837729132
USA_2020_03_27,USA,CARES Act,cares act usa,52,2019-09-29,2020-09-20,0.0,0,
USA_2021_01_06,USA,Invasao do Capitolio,capitol attack,53,2020-07-05,2021-07-04,2.0754716981132075,26,4.555672287768941
USA_2021_01_06,USA,Invasao do Capitolio,capitol riot,53,2020-07-05,2021-07-04,6.547169811320755,100,5.406541590063246
USA_2021_01_06,USA,Invasao do Capitolio,january 6,53,2020-07-05,2021-07-04,5.754716981132075,72,6.149814255492865
USA_2021_03_11,USA,American Rescue Plan,american rescue plan,53,2020-09-06,2021-09-05,0.05660377358490566,1,4.0824829046386295
USA_2021_03_11,USA,American Rescue Plan,biden stimulus,53,2020-09-06,2021-09-05,0.3018867924528302,3,3.9152375990827637
USA_2021_03_11,USA,American Rescue Plan,stimulus check,53,2020-09-06,2021-09-05,18.037735849056602,100,4.202080327307987
USA_2021_2022,USA,Alta inflacionaria,fed rates,156,2020-07-05,2023-06-25,0.40384615384615385,4,5.547390434046452
USA_2021_2022,USA,Alta inflacionaria,gas prices,156,2020-07-05,2023-06-25,8.326923076923077,100,9.281553081046367
USA_2021_2022,USA,Alta inflacionaria,inflation,156,2020-07-05,2023-06-25,7.711538461538462,25,4.536144197123599
USA_2022_03,USA,Ciclo de alta de juros do Fed,fed rates,57,2021-08-29,2022-09-25,2.56140350877193,14,4.615878595077082
USA_2022_03,USA,Ciclo de alta de juros do Fed,inflation,57,2021-08-29,2022-09-25,40.36842105263158,100,3.772853818882648
USA_2022_03,USA,Ciclo de alta de juros do Fed,interest rates,57,2021-08-29,2022-09-25,23.017543859649123,70,4.475683366609044
