date,value,series_code,series_slug,series_name
02/02/2016,0.052531,11,selic,Selic
03/02/2016,0.052531,11,selic,Selic
04/02/2016,0.052531,11,selic,Selic
05/02/2016,0.052531,11,selic,Selic
10/02/2016,0.052531,11,selic,Selic
11/02/2016,0.052531,11,selic,Selic
12/02/2016,0.052531,11,selic,Selic
15/02/2016,0.052531,11,selic,Selic
16/02/2016,0.052531,11,selic,Selic
17/02/2016,0.052531,11,selic,Selic
18/02/2016,0.052531,11,selic,Selic
19/02/2016,0.052531,11,selic,Selic
22/02/2016,0.052531,11,selic,Selic
23/02/2016,0.052531,11,selic,Selic
24/02/2016,0.052531,11,selic,Selic
25/02/2016,0.052531,11,selic,Selic
26/02/2016,0.052531,11,selic,Selic
29/02/2016,0.052531,11,selic,Selic
01/03/2016,0.052531,11,selic,Selic
02/03/2016,0.052531,11,selic,Selic
03/03/2016,0.052531,11,selic,Selic
04/03/2016,0.052531,11,selic,Selic
07/03/2016,0.052531,11,selic,Selic
08/03/2016,0.052531,11,selic,Selic
09/03/2016,0.052531,11,selic,Selic
10/03/2016,0.052531,11,selic,Selic
11/03/2016,0.052531,11,selic,Selic
14/03/2016,0.052531,11,selic,Selic
15/03/2016,0.052531,11,selic,Selic
16/03/2016,0.052531,11,selic,Selic
17/03/2016,0.052531,11,selic,Selic
18/03/2016,0.052531,11,selic,Selic
21/03/2016,0.052531,11,selic,Selic
22/03/2016,0.052531,11,selic,Selic
23/03/2016,0.052531,11,selic,Selic
24/03/2016,0.052531,11,selic,Selic
28/03/2016,0.052531,11,selic,Selic
29/03/2016,0.052531,11,selic,Selic
30/03/2016,0.052531,11,selic,Selic
31/03/2016,0.052531,11,selic,Selic
01/04/2016,0.052531,11,selic,Selic
04/04/2016,0.052531,11,selic,Selic
05/04/2016,0.052531,11,selic,Selic
06/04/2016,0.052531,11,selic,Selic
07/04/2016,0.052531,11,selic,Selic
08/04/2016,0.052531,11,selic,Selic
11/04/2016,0.052531,11,selic,Selic
12/04/2016,0.052531,11,selic,Selic
13/04/2016,0.052531,11,selic,Selic
14/04/2016,0.052531,11,selic,Selic
15/04/2016,0.052531,11,selic,Selic
18/04/2016,0.052531,11,selic,Selic
19/04/2016,0.052531,11,selic,Selic
20/04/2016,0.052531,11,selic,Selic
22/04/2016,0.052531,11,selic,Selic
25/04/2016,0.052531,11,selic,Selic
26/04/2016,0.052531,11,selic,Selic
27/04/2016,0.052531,11,selic,Selic
28/04/2016,0.052531,11,selic,Selic
29/04/2016,0.052531,11,selic,Selic
02/05/2016,0.052531,11,selic,Selic
03/05/2016,0.052531,11,selic,Selic
04/05/2016,0.052531,11,selic,Selic
05/05/2016,0.052531,11,selic,Selic
06/05/2016,0.052531,11,selic,Selic
09/05/2016,0.052531,11,selic,Selic
10/05/2016,0.052531,11,selic,Selic
11/05/2016,0.052531,11,selic,Selic
12/05/2016,0.052531,11,selic,Selic
13/05/2016,0.052531,11,selic,Selic
16/05/2016,0.052531,11,selic,Selic
17/05/2016,0.052531,11,selic,Selic
18/05/2016,0.052531,11,selic,Selic
19/05/2016,0.052531,11,selic,Selic
20/05/2016,0.052531,11,selic,Selic
23/05/2016,0.052531,11,selic,Selic
24/05/2016,0.052531,11,selic,Selic
25/05/2016,0.052531,11,selic,Selic
27/05/2016,0.052531,11,selic,Selic
30/05/2016,0.052531,11,selic,Selic
31/05/2016,0.052531,11,selic,Selic
01/06/2016,0.052531,11,selic,Selic
02/06/2016,0.052531,11,selic,Selic
03/06/2016,0.052531,11,selic,Selic
06/06/2016,0.052531,11,selic,Selic
07/06/2016,0.052531,11,selic,Selic
08/06/2016,0.052531,11,selic,Selic
09/06/2016,0.052531,11,selic,Selic
10/06/2016,0.052531,11,selic,Selic
13/06/2016,0.052531,11,selic,Selic
14/06/2016,0.052531,11,selic,Selic
15/06/2016,0.052531,11,selic,Selic
16/06/2016,0.052531,11,selic,Selic
17/06/2016,0.052531,11,selic,Selic
20/06/2016,0.052531,11,selic,Selic
21/06/2016,0.052531,11,selic,Selic
22/06/2016,0.052531,11,selic,Selic
23/06/2016,0.052531,11,selic,Selic
24/06/2016,0.052531,11,selic,Selic
27/06/2016,0.052531,11,selic,Selic
28/06/2016,0.052531,11,selic,Selic
29/06/2016,0.052531,11,selic,Selic
30/06/2016,0.052531,11,selic,Selic
01/07/2016,0.052531,11,selic,Selic
04/07/2016,0.052531,11,selic,Selic
05/07/2016,0.052531,11,selic,Selic
06/07/2016,0.052531,11,selic,Selic
07/07/2016,0.052531,11,selic,Selic
08/07/2016,0.052531,11,selic,Selic
11/07/2016,0.052531,11,selic,Selic
12/07/2016,0.052531,11,selic,Selic
13/07/2016,0.052531,11,selic,Selic
14/07/2016,0.052531,11,selic,Selic
15/07/2016,0.052531,11,selic,Selic
18/07/2016,0.052531,11,selic,Selic
19/07/2016,0.052531,11,selic,Selic
20/07/2016,0.052531,11,selic,Selic
21/07/2016,0.052531,11,selic,Selic
22/07/2016,0.052531,11,selic,Selic
25/07/2016,0.052531,11,selic,Selic
26/07/2016,0.052531,11,selic,Selic
27/07/2016,0.052531,11,selic,Selic
28/07/2016,0.052531,11,selic,Selic
29/07/2016,0.052531,11,selic,Selic
01/08/2016,0.052531,11,selic,Selic
02/08/2016,0.052531,11,selic,Selic
03/08/2016,0.052531,11,selic,Selic
04/08/2016,0.052531,11,selic,Selic
05/08/2016,0.052531,11,selic,Selic
08/08/2016,0.052531,11,selic,Selic
09/08/2016,0.052531,11,selic,Selic
10/08/2016,0.052531,11,selic,Selic
11/08/2016,0.052531,11,selic,Selic
12/08/2016,0.052531,11,selic,Selic
15/08/2016,0.052531,11,selic,Selic
16/08/2016,0.052531,11,selic,Selic
17/08/2016,0.052531,11,selic,Selic
18/08/2016,0.052531,11,selic,Selic
19/08/2016,0.052531,11,selic,Selic
22/08/2016,0.052531,11,selic,Selic
23/08/2016,0.052531,11,selic,Selic
24/08/2016,0.052531,11,selic,Selic
25/08/2016,0.052531,11,selic,Selic
26/08/2016,0.052531,11,selic,Selic
29/08/2016,0.052531,11,selic,Selic
30/08/2016,0.052531,11,selic,Selic
31/08/2016,0.052531,11,selic,Selic
01/09/2016,0.052531,11,selic,Selic
02/09/2016,0.052531,11,selic,Selic
05/09/2016,0.052531,11,selic,Selic
06/09/2016,0.052531,11,selic,Selic
08/09/2016,0.052531,11,selic,Selic
09/09/2016,0.052531,11,selic,Selic
12/09/2016,0.052531,11,selic,Selic
13/09/2016,0.052531,11,selic,Selic
14/09/2016,0.052531,11,selic,Selic
15/09/2016,0.052531,11,selic,Selic
16/09/2016,0.052531,11,selic,Selic
19/09/2016,0.052531,11,selic,Selic
20/09/2016,0.052531,11,selic,Selic
21/09/2016,0.052531,11,selic,Selic
22/09/2016,0.052531,11,selic,Selic
23/09/2016,0.052531,11,selic,Selic
26/09/2016,0.052531,11,selic,Selic
27/09/2016,0.052531,11,selic,Selic
28/09/2016,0.052531,11,selic,Selic
29/09/2016,0.052531,11,selic,Selic
30/09/2016,0.052531,11,selic,Selic
03/10/2016,0.052531,11,selic,Selic
04/10/2016,0.052531,11,selic,Selic
05/10/2016,0.052531,11,selic,Selic
06/10/2016,0.052531,11,selic,Selic
07/10/2016,0.052531,11,selic,Selic
10/10/2016,0.052531,11,selic,Selic
11/10/2016,0.052531,11,selic,Selic
13/10/2016,0.052531,11,selic,Selic
14/10/2016,0.052531,11,selic,Selic
17/10/2016,0.052531,11,selic,Selic
18/10/2016,0.052531,11,selic,Selic
19/10/2016,0.052531,11,selic,Selic
20/10/2016,0.051660,11,selic,Selic
21/10/2016,0.051660,11,selic,Selic
24/10/2016,0.051660,11,selic,Selic
25/10/2016,0.051660,11,selic,Selic
26/10/2016,0.051660,11,selic,Selic
27/10/2016,0.051660,11,selic,Selic
28/10/2016,0.051660,11,selic,Selic
31/10/2016,0.051660,11,selic,Selic
01/11/2016,0.051660,11,selic,Selic
03/11/2016,0.051660,11,selic,Selic
04/11/2016,0.051660,11,selic,Selic
07/11/2016,0.051660,11,selic,Selic
08/11/2016,0.051660,11,selic,Selic
09/11/2016,0.051660,11,selic,Selic
10/11/2016,0.051660,11,selic,Selic
11/11/2016,0.051660,11,selic,Selic
14/11/2016,0.051660,11,selic,Selic
16/11/2016,0.051660,11,selic,Selic
17/11/2016,0.051660,11,selic,Selic
18/11/2016,0.051660,11,selic,Selic
21/11/2016,0.051660,11,selic,Selic
22/11/2016,0.051660,11,selic,Selic
23/11/2016,0.051660,11,selic,Selic
24/11/2016,0.051660,11,selic,Selic
25/11/2016,0.051660,11,selic,Selic
28/11/2016,0.051660,11,selic,Selic
29/11/2016,0.051660,11,selic,Selic
30/11/2016,0.051660,11,selic,Selic
01/12/2016,0.050788,11,selic,Selic
02/12/2016,0.050788,11,selic,Selic
05/12/2016,0.050788,11,selic,Selic
06/12/2016,0.050788,11,selic,Selic
07/12/2016,0.050788,11,selic,Selic
08/12/2016,0.050788,11,selic,Selic
09/12/2016,0.050788,11,selic,Selic
12/12/2016,0.050788,11,selic,Selic
13/12/2016,0.050788,11,selic,Selic
14/12/2016,0.050788,11,selic,Selic
15/12/2016,0.050788,11,selic,Selic
16/12/2016,0.050788,11,selic,Selic
19/12/2016,0.050788,11,selic,Selic
20/12/2016,0.050788,11,selic,Selic
21/12/2016,0.050788,11,selic,Selic
22/12/2016,0.050788,11,selic,Selic
23/12/2016,0.050788,11,selic,Selic
26/12/2016,0.050788,11,selic,Selic
27/12/2016,0.050788,11,selic,Selic
28/12/2016,0.050788,11,selic,Selic
29/12/2016,0.050788,11,selic,Selic
30/12/2016,0.050788,11,selic,Selic
02/01/2017,0.050788,11,selic,Selic
03/01/2017,0.050788,11,selic,Selic
04/01/2017,0.050788,11,selic,Selic
05/01/2017,0.050788,11,selic,Selic
06/01/2017,0.050788,11,selic,Selic
09/01/2017,0.050788,11,selic,Selic
10/01/2017,0.050788,11,selic,Selic
11/01/2017,0.050788,11,selic,Selic
12/01/2017,0.048159,11,selic,Selic
13/01/2017,0.048159,11,selic,Selic
16/01/2017,0.048159,11,selic,Selic
17/01/2017,0.048159,11,selic,Selic
18/01/2017,0.048159,11,selic,Selic
19/01/2017,0.048159,11,selic,Selic
20/01/2017,0.048159,11,selic,Selic
23/01/2017,0.048159,11,selic,Selic
24/01/2017,0.048159,11,selic,Selic
25/01/2017,0.048159,11,selic,Selic
26/01/2017,0.048159,11,selic,Selic
27/01/2017,0.048159,11,selic,Selic
30/01/2017,0.048159,11,selic,Selic
31/01/2017,0.048159,11,selic,Selic
01/02/2017,0.048159,11,selic,Selic
02/02/2017,0.048159,11,selic,Selic
03/02/2017,0.048159,11,selic,Selic
06/02/2017,0.048159,11,selic,Selic
07/02/2017,0.048159,11,selic,Selic
08/02/2017,0.048159,11,selic,Selic
09/02/2017,0.048159,11,selic,Selic
10/02/2017,0.048159,11,selic,Selic
13/02/2017,0.048159,11,selic,Selic
14/02/2017,0.048159,11,selic,Selic
15/02/2017,0.048159,11,selic,Selic
16/02/2017,0.048159,11,selic,Selic
17/02/2017,0.048159,11,selic,Selic
20/02/2017,0.048159,11,selic,Selic
21/02/2017,0.048159,11,selic,Selic
22/02/2017,0.048159,11,selic,Selic
23/02/2017,0.045513,11,selic,Selic
24/02/2017,0.045513,11,selic,Selic
01/03/2017,0.045513,11,selic,Selic
02/03/2017,0.045513,11,selic,Selic
03/03/2017,0.045513,11,selic,Selic
06/03/2017,0.045513,11,selic,Selic
07/03/2017,0.045513,11,selic,Selic
08/03/2017,0.045513,11,selic,Selic
09/03/2017,0.045513,11,selic,Selic
10/03/2017,0.045513,11,selic,Selic
13/03/2017,0.045513,11,selic,Selic
14/03/2017,0.045513,11,selic,Selic
15/03/2017,0.045513,11,selic,Selic
16/03/2017,0.045513,11,selic,Selic
17/03/2017,0.045513,11,selic,Selic
20/03/2017,0.045513,11,selic,Selic
21/03/2017,0.045513,11,selic,Selic
22/03/2017,0.045513,11,selic,Selic
23/03/2017,0.045513,11,selic,Selic
24/03/2017,0.045513,11,selic,Selic
27/03/2017,0.045513,11,selic,Selic
28/03/2017,0.045513,11,selic,Selic
29/03/2017,0.045513,11,selic,Selic
30/03/2017,0.045513,11,selic,Selic
31/03/2017,0.045513,11,selic,Selic
03/04/2017,0.045513,11,selic,Selic
04/04/2017,0.045513,11,selic,Selic
05/04/2017,0.045513,11,selic,Selic
06/04/2017,0.045513,11,selic,Selic
07/04/2017,0.045513,11,selic,Selic
10/04/2017,0.045513,11,selic,Selic
11/04/2017,0.045513,11,selic,Selic
12/04/2017,0.045513,11,selic,Selic
13/04/2017,0.041957,11,selic,Selic
17/04/2017,0.041957,11,selic,Selic
18/04/2017,0.041957,11,selic,Selic
19/04/2017,0.041957,11,selic,Selic
20/04/2017,0.041957,11,selic,Selic
24/04/2017,0.041957,11,selic,Selic
25/04/2017,0.041957,11,selic,Selic
26/04/2017,0.041957,11,selic,Selic
27/04/2017,0.041957,11,selic,Selic
28/04/2017,0.041957,11,selic,Selic
02/05/2017,0.041957,11,selic,Selic
03/05/2017,0.041957,11,selic,Selic
