country_code,indicator_slug,window_days,rows,max_abs_standardized_change,median_abs_standardized_change
ARG,dolar_blue,30,20,0.3501463087458098,0.047292186710432546
ARG,dolar_blue,90,20,0.6463612538714422,0.09814274623460148
ARG,dolar_blue,180,20,0.9836686715147281,0.1776839272960579
ARG,dolar_blue,365,20,1.376001905269963,0.3356179496797665
ARG,dolar_oficial,30,20,1.0257766696938009,0.025285412780701698
ARG,dolar_oficial,90,20,1.092360108563968,0.045065577624804606
ARG,dolar_oficial,180,20,1.2152721239291577,0.08898745325682783
ARG,dolar_oficial,365,20,1.471964259488417,0.18212144828268512
BRA,cambio,30,32,0.7247314240848914,0.14150859724224246
BRA,cambio,90,32,1.2201511383360395,0.12608748361134256
BRA,cambio,180,32,1.2847670382860699,0.1922113371221818
BRA,cambio,365,32,1.4801396112539822,0.27019008788274723
BRA,gasolina,30,32,0.2086650934354997,0.06955503114516678
BRA,gasolina,90,32,0.46370020763444425,0.168091325267486
BRA,gasolina,180,32,0.8172716159557076,0.18548008305377756
BRA,gasolina,365,32,1.388202496605617,0.39414517648927666
BRA,ipca,30,32,3.4895361050335865,0.4781956884675654
BRA,ipca,90,32,3.041496901424336,0.43942306507830337
BRA,ipca,180,32,2.1884991868605703,0.38341816462714695
BRA,ipca,365,32,1.7576922603132143,0.3737250087798316
BRA,selic,30,32,0.2880711071255506,0.049415663270623036
BRA,selic,90,32,0.710027489367932,0.18398121386255323
BRA,selic,180,32,1.245207532068669,0.34702286982099706
BRA,selic,365,32,1.9530632114447108,0.5749993415226208
USA,cpi,30,26,0.06836353050852098,0.03143919700489548
USA,cpi,90,27,0.22407674489411802,0.08447333181067404
USA,cpi,180,27,0.39471242920562094,0.14877429374168108
USA,cpi,365,27,0.7264712110043683,0.2816428065021984
USA,fed_funds,30,26,0.31625142511550824,0.06852114210836012
USA,fed_funds,90,27,0.7484617061067028,0.15285485547249564
USA,fed_funds,180,27,1.3967771275934948,0.2818151588251523
USA,fed_funds,365,27,1.9980940734033983,0.6224003741509375
USA,gasoline,30,27,0.7097610623887659,0.18874093055701208
USA,gasoline,90,27,1.3878009599780354,0.3582051532743301
USA,gasoline,180,27,1.4400188774172047,0.44507234303295423
USA,gasoline,365,27,1.7485987084523225,0.5054340595119982
USA,real_gdp,90,27,1.0063185131984396,0.09421473702852266
USA,real_gdp,180,27,0.6347369352252016,0.19287185436965976
USA,real_gdp,365,27,0.843515854774799,0.31909767078108514
USA,unemployment,30,26,6.1066861532440235,0.05871813608888484
USA,unemployment,90,27,5.382495808147777,0.11743627217776972
USA,unemployment,180,27,4.58197188613598,0.18594076428146847
USA,unemployment,365,27,2.955479516473871,0.3327361045036806
