event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
BRA_2022_12_09,BRA,Brazil,Anuncio de Fernando Haddad na Fazenda,2022-12-09,day,180,7,alta,BRA_2022_12_21; BRA_2023_01_08; BRA_2022_10_30; BRA_2023_03_30; BRA_2022_07_14; BRA_2023_05_16; BRA_2022_06_23,Aprovacao da PEC da Transicao; Atos de 8 de janeiro; Eleicao Lula; Apresentacao do novo arcabouco fiscal; PEC dos beneficios eleitorais; Mudanca na politica de precos da Petrobras; Teto do ICMS dos combustiveis,12; 30; -40; 111; -148; 158; -169,True
BRA_2022_12_21,BRA,Brazil,Aprovacao da PEC da Transicao,2022-12-21,day,30,2,moderada,BRA_2022_12_09; BRA_2023_01_08,Anuncio de Fernando Haddad na Fazenda; Atos de 8 de janeiro,-12; 18,True
BRA_2022_12_21,BRA,Brazil,Aprovacao da PEC da Transicao,2022-12-21,day,90,3,alta,BRA_2022_12_09; BRA_2023_01_08; BRA_2022_10_30,Anuncio de Fernando Haddad na Fazenda; Atos de 8 de janeiro; Eleicao Lula,-12; 18; -52,True
BRA_2022_12_21,BRA,Brazil,Aprovacao da PEC da Transicao,2022-12-21,day,180,6,alta,BRA_2022_12_09; BRA_2023_01_08; BRA_2022_10_30; BRA_2023_03_30; BRA_2023_05_16; BRA_2022_07_14,Anuncio de Fernando Haddad na Fazenda; Atos de 8 de janeiro; Eleicao Lula; Apresentacao do novo arcabouco fiscal; Mudanca na politica de precos da Petrobras; PEC dos beneficios eleitorais,-12; 18; -52; 99; 146; -160,True
BRA_2023_01_08,BRA,Brazil,Atos de 8 de janeiro,2023-01-08,day,30,2,moderada,BRA_2022_12_21; BRA_2022_12_09,Aprovacao da PEC da Transicao; Anuncio de Fernando Haddad na Fazenda,-18; -30,True
BRA_2023_01_08,BRA,Brazil,Atos de 8 de janeiro,2023-01-08,day,90,4,alta,BRA_2022_12_21; BRA_2022_12_09; BRA_2022_10_30; BRA_2023_03_30,Aprovacao da PEC da Transicao; Anuncio de Fernando Haddad na Fazenda; Eleicao Lula; Apresentacao do novo arcabouco fiscal,-18; -30; -70; 81,True
BRA_2023_01_08,BRA,Brazil,Atos de 8 de janeiro,2023-01-08,day,180,6,alta,BRA_2022_12_21; BRA_2022_12_09; BRA_2022_10_30; BRA_2023_03_30; BRA_2023_05_16; BRA_2022_07_14,Aprovacao da PEC da Transicao; Anuncio de Fernando Haddad na Fazenda; Eleicao Lula; Apresentacao do novo arcabouco fiscal; Mudanca na politica de precos da Petrobras; PEC dos beneficios eleitorais,-18; -30; -70; 81; 128; -178,True
BRA_2023_03_30,BRA,Brazil,Apresentacao do novo arcabouco fiscal,2023-03-30,day,30,0,baixa,,,,False
BRA_2023_03_30,BRA,Brazil,Apresentacao do novo arcabouco fiscal,2023-03-30,day,90,2,moderada,BRA_2023_05_16; BRA_2023_01_08,Mudanca na politica de precos da Petrobras; Atos de 8 de janeiro,47; -81,True
BRA_2023_03_30,BRA,Brazil,Apresentacao do novo arcabouco fiscal,2023-03-30,day,180,7,alta,BRA_2023_05_16; BRA_2023_01_08; BRA_2022_12_21; BRA_2022_12_09; BRA_2023_08_02; BRA_2022_10_30; BRA_2023_08_31,Mudanca na politica de precos da Petrobras; Atos de 8 de janeiro; Aprovacao da PEC da Transicao; Anuncio de Fernando Haddad na Fazenda; Inicio do ciclo de corte da Selic de 2023; Eleicao Lula; Novo arcabouco fiscal,47; -81; -99; -111; 125; -151; 154,True
BRA_2023_05_16,BRA,Brazil,Mudanca na politica de precos da Petrobras,2023-05-16,day,30,0,baixa,,,,False
BRA_2023_05_16,BRA,Brazil,Mudanca na politica de precos da Petrobras,2023-05-16,day,90,2,moderada,BRA_2023_03_30; BRA_2023_08_02,Apresentacao do novo arcabouco fiscal; Inicio do ciclo de corte da Selic de 2023,-47; 78,True
BRA_2023_05_16,BRA,Brazil,Mudanca na politica de precos da Petrobras,2023-05-16,day,180,6,alta,BRA_2023_03_30; BRA_2023_08_02; BRA_2023_08_31; BRA_2023_01_08; BRA_2022_12_21; BRA_2022_12_09,Apresentacao do novo arcabouco fiscal; Inicio do ciclo de corte da Selic de 2023; Novo arcabouco fiscal; Atos de 8 de janeiro; Aprovacao da PEC da Transicao; Anuncio de Fernando Haddad na Fazenda,-47; 78; 107; -128; -146; -158,True
BRA_2023_08_02,BRA,Brazil,Inicio do ciclo de corte da Selic de 2023,2023-08-02,day,30,1,moderada,BRA_2023_08_31,Novo arcabouco fiscal,29,True
BRA_2023_08_02,BRA,Brazil,Inicio do ciclo de corte da Selic de 2023,2023-08-02,day,90,2,moderada,BRA_2023_08_31; BRA_2023_05_16,Novo arcabouco fiscal; Mudanca na politica de precos da Petrobras,29; -78,True
BRA_2023_08_02,BRA,Brazil,Inicio do ciclo de corte da Selic de 2023,2023-08-02,day,180,4,alta,BRA_2023_08_31; BRA_2023_05_16; BRA_2023_03_30; BRA_2023_12_20,Novo arcabouco fiscal; Mudanca na politica de precos da Petrobras; Apresentacao do novo arcabouco fiscal; Promulgacao da reforma tributaria,29; -78; -125; 140,True
BRA_2023_08_31,BRA,Brazil,Novo arcabouco fiscal,2023-08-31,day,30,1,moderada,BRA_2023_08_02,Inicio do ciclo de corte da Selic de 2023,-29,True
BRA_2023_08_31,BRA,Brazil,Novo arcabouco fiscal,2023-08-31,day,90,1,moderada,BRA_2023_08_02,Inicio do ciclo de corte da Selic de 2023,-29,True
BRA_2023_08_31,BRA,Brazil,Novo arcabouco fiscal,2023-08-31,day,180,4,alta,BRA_2023_08_02; BRA_2023_05_16; BRA_2023_12_20; BRA_2023_03_30,Inicio do ciclo de corte da Selic de 2023; Mudanca na politica de precos da Petrobras; Promulgacao da reforma tributaria; Apresentacao do novo arcabouco fiscal,-29; -107; 111; -154,True
BRA_2023_12_20,BRA,Brazil,Promulgacao da reforma tributaria,2023-12-20,day,30,0,baixa,,,,False
BRA_2023_12_20,BRA,Brazil,Promulgacao da reforma tributaria,2023-12-20,day,90,0,baixa,,,,False
BRA_2023_12_20,BRA,Brazil,Promulgacao da reforma tributaria,2023-12-20,day,180,2,moderada,BRA_2023_08_31; BRA_2023_08_02,Novo arcabouco fiscal; Inicio do ciclo de corte da Selic de 2023,-111; -140,True
BRA_2024_09_18,BRA,Brazil,Retomada do ciclo de alta da Selic,2024-09-18,day,30,1,moderada,BRA_2024_10,Eleicoes municipais,28,True
BRA_2024_09_18,BRA,Brazil,Retomada do ciclo de alta da Selic,2024-09-18,day,90,1,moderada,BRA_2024_10,Eleicoes municipais,28,True
BRA_2024_09_18,BRA,Brazil,Retomada do ciclo de alta da Selic,2024-09-18,day,180,1,moderada,BRA_2024_10,Eleicoes municipais,28,True
BRA_2024_10,BRA,Brazil,Eleicoes municipais,2024-10-16,month,30,1,moderada,BRA_2024_09_18,Retomada do ciclo de alta da Selic,-28,True
BRA_2024_10,BRA,Brazil,Eleicoes municipais,2024-10-16,month,90,1,moderada,BRA_2024_09_18,Retomada do ciclo de alta da Selic,-28,True
BRA_2024_10,BRA,Brazil,Eleicoes municipais,2024-10-16,month,180,1,moderada,BRA_2024_09_18,Retomada do ciclo de alta da Selic,-28,True
USA_2016_11_08,USA,United States,Eleicao Trump,2016-11-08,day,30,0,baixa,,,,False
USA_2016_11_08,USA,United States,Eleicao Trump,2016-11-08,day,90,1,moderada,USA_2016_12_14,Alta de juros do Fed apos eleicao Trump,36,True
USA_2016_11_08,USA,United States,Eleicao Trump,2016-11-08,day,180,2,moderada,USA_2016_12_14; USA_2017_03_15,Alta de juros do Fed apos eleicao Trump; Fed acelera ciclo de alta de juros,36; 127,True
USA_2016_12_14,USA,United States,Alta de juros do Fed apos eleicao Trump,2016-12-14,day,30,0,baixa,,,,False
USA_2016_12_14,USA,United States,Alta de juros do Fed apos eleicao Trump,2016-12-14,day,90,1,moderada,USA_2016_11_08,Eleicao Trump,-36,True
USA_2016_12_14,USA,United States,Alta de juros do Fed apos eleicao Trump,2016-12-14,day,180,2,moderada,USA_2016_11_08; USA_2017_03_15,Eleicao Trump; Fed acelera ciclo de alta de juros,-36; 91,True
USA_2017_03_15,USA,United States,Fed acelera ciclo de alta de juros,2017-03-15,day,30,0,baixa,,,,False
USA_2017_03_15,USA,United States,Fed acelera ciclo de alta de juros,2017-03-15,day,90,0,baixa,,,,False
USA_2017_03_15,USA,United States,Fed acelera ciclo de alta de juros,2017-03-15,day,180,2,moderada,USA_2016_12_14; USA_2016_11_08,Alta de juros do Fed apos eleicao Trump; Eleicao Trump,-91; -127,True
USA_2017_12_22,USA,United States,Tax Cuts and Jobs Act,2017-12-22,day,30,0,baixa,,,,False
USA_2017_12_22,USA,United States,Tax Cuts and Jobs Act,2017-12-22,day,90,1,moderada,USA_2018_03,Tarifas comerciais contra China,84,True
USA_2017_12_22,USA,United States,Tax Cuts and Jobs Act,2017-12-22,day,180,1,moderada,USA_2018_03,Tarifas comerciais contra China,84,True
USA_2018_03,USA,United States,Tarifas comerciais contra China,2018-03-16,month,30,0,baixa,,,,False
USA_2018_03,USA,United States,Tarifas comerciais contra China,2018-03-16,month,90,1,moderada,USA_2017_12_22,Tax Cuts and Jobs Act,-84,True
USA_2018_03,USA,United States,Tarifas comerciais contra China,2018-03-16,month,180,2,moderada,USA_2017_12_22; USA_2018_07_06,Tax Cuts and Jobs Act; Inicio das tarifas EUA-China,-84; 112,True
USA_2018_07_06,USA,United States,Inicio das tarifas EUA-China,2018-07-06,day,30,0,baixa,,,,False
USA_2018_07_06,USA,United States,Inicio das tarifas EUA-China,2018-07-06,day,90,0,baixa,,,,False
USA_2018_07_06,USA,United States,Inicio das tarifas EUA-China,2018-07-06,day,180,2,moderada,USA_2018_03; USA_2018_12_19,Tarifas comerciais contra China; Fed eleva juros em meio a turbulencia de mercado,-112; 166,True
USA_2018_12_19,USA,United States,Fed eleva juros em meio a turbulencia de mercado,2018-12-19,day,30,0,baixa,,,,False
USA_2018_12_19,USA,United States,Fed eleva juros em meio a turbulencia de mercado,2018-12-19,day,90,0,baixa,,,,False
USA_2018_12_19,USA,United States,Fed eleva juros em meio a turbulencia de mercado,2018-12-19,day,180,1,moderada,USA_2018_07_06,Inicio das tarifas EUA-China,-166,True
USA_2019_07_31,USA,United States,Primeiro corte de juros do Fed desde 2008,2019-07-31,day,30,0,baixa,,,,False
USA_2019_07_31,USA,United States,Primeiro corte de juros do Fed desde 2008,2019-07-31,day,90,0,baixa,,,,False
USA_2019_07_31,USA,United States,Primeiro corte de juros do Fed desde 2008,2019-07-31,day,180,0,baixa,,,,False
USA_2020_03_03,USA,United States,Corte emergencial de juros do Fed,2020-03-03,day,30,3,alta,USA_2020_03_15; USA_2020_03; USA_2020_03_27,Fed leva juros a zero e relanca QE; Pandemia Covid; CARES Act,12; 13; 24,True
USA_2020_03_03,USA,United States,Corte emergencial de juros do Fed,2020-03-03,day,90,3,alta,USA_2020_03_15; USA_2020_03; USA_2020_03_27,Fed leva juros a zero e relanca QE; Pandemia Covid; CARES Act,12; 13; 24,True
USA_2020_03_03,USA,United States,Corte emergencial de juros do Fed,2020-03-03,day,180,3,alta,USA_2020_03_15; USA_2020_03; USA_2020_03_27,Fed leva juros a zero e relanca QE; Pandemia Covid; CARES Act,12; 13; 24,True
USA_2020_03_15,USA,United States,Fed leva juros a zero e relanca QE,2020-03-15,day,30,3,alta,USA_2020_03; USA_2020_03_03; USA_2020_03_27,Pandemia Covid; Corte emergencial de juros do Fed; CARES Act,1; -12; 12,True
USA_2020_03_15,USA,United States,Fed leva juros a zero e relanca QE,2020-03-15,day,90,3,alta,USA_2020_03; USA_2020_03_03; USA_2020_03_27,Pandemia Covid; Corte emergencial de juros do Fed; CARES Act,1; -12; 12,True
USA_2020_03_15,USA,United States,Fed leva juros a zero e relanca QE,2020-03-15,day,180,3,alta,USA_2020_03; USA_2020_03_03; USA_2020_03_27,Pandemia Covid; Corte emergencial de juros do Fed; CARES Act,1; -12; 12,True
USA_2020_03,USA,United States,Pandemia Covid,2020-03-16,month,30,3,alta,USA_2020_03_15; USA_2020_03_27; USA_2020_03_03,Fed leva juros a zero e relanca QE; CARES Act; Corte emergencial de juros do Fed,-1; 11; -13,True
USA_2020_03,USA,United States,Pandemia Covid,2020-03-16,month,90,3,alta,USA_2020_03_15; USA_2020_03_27; USA_2020_03_03,Fed leva juros a zero e relanca QE; CARES Act; Corte emergencial de juros do Fed,-1; 11; -13,True
USA_2020_03,USA,United States,Pandemia Covid,2020-03-16,month,180,3,alta,USA_2020_03_15; USA_2020_03_27; USA_2020_03_03,Fed leva juros a zero e relanca QE; CARES Act; Corte emergencial de juros do Fed,-1; 11; -13,True
USA_2020_03_27,USA,United States,CARES Act,2020-03-27,day,30,3,alta,USA_2020_03; USA_2020_03_15; USA_2020_03_03,Pandemia Covid; Fed leva juros a zero e relanca QE; Corte emergencial de juros do Fed,-11; -12; -24,True
USA_2020_03_27,USA,United States,CARES Act,2020-03-27,day,90,3,alta,USA_2020_03; USA_2020_03_15; USA_2020_03_03,Pandemia Covid; Fed leva juros a zero e relanca QE; Corte emergencial de juros do Fed,-11; -12; -24,True
USA_2020_03_27,USA,United States,CARES Act,2020-03-27,day,180,3,alta,USA_2020_03; USA_2020_03_15; USA_2020_03_03,Pandemia Covid; Fed leva juros a zero e relanca QE; Corte emergencial de juros do Fed,-11; -12; -24,True
USA_2020_11_03,USA,United States,Eleicao Biden,2020-11-03,day,30,0,baixa,,,,False
USA_2020_11_03,USA,United States,Eleicao Biden,2020-11-03,day,90,2,moderada,USA_2020_12_27; USA_2021_01_06,Segundo pacote fiscal Covid; Invasao do Capitolio,54; 64,True
USA_2020_11_03,USA,United States,Eleicao Biden,2020-11-03,day,180,3,alta,USA_2020_12_27; USA_2021_01_06; USA_2021_03_11,Segundo pacote fiscal Covid; Invasao do Capitolio; American Rescue Plan,54; 64; 128,True
USA_2020_12_27,USA,United States,Segundo pacote fiscal Covid,2020-12-27,day,30,1,moderada,USA_2021_01_06,Invasao do Capitolio,10,True
USA_2020_12_27,USA,United States,Segundo pacote fiscal Covid,2020-12-27,day,90,3,alta,USA_2021_01_06; USA_2020_11_03; USA_2021_03_11,Invasao do Capitolio; Eleicao Biden; American Rescue Plan,10; -54; 74,True
USA_2020_12_27,USA,United States,Segundo pacote fiscal Covid,2020-12-27,day,180,3,alta,USA_2021_01_06; USA_2020_11_03; USA_2021_03_11,Invasao do Capitolio; Eleicao Biden; American Rescue Plan,10; -54; 74,True
USA_2021_01_06,USA,United States,Invasao do Capitolio,2021-01-06,day,30,1,moderada,USA_2020_12_27,Segundo pacote fiscal Covid,-10,True
USA_2021_01_06,USA,United States,Invasao do Capitolio,2021-01-06,day,90,3,alta,USA_2020_12_27; USA_2020_11_03; USA_2021_03_11,Segundo pacote fiscal Covid; Eleicao Biden; American Rescue Plan,-10; -64; 64,True
USA_2021_01_06,USA,United States,Invasao do Capitolio,2021-01-06,day,180,3,alta,USA_2020_12_27; USA_2020_11_03; USA_2021_03_11,Segundo pacote fiscal Covid; Eleicao Biden; American Rescue Plan,-10; -64; 64,True
USA_2021_03_11,USA,United States,American Rescue Plan,2021-03-11,day,30,0,baixa,,,,False
USA_2021_03_11,USA,United States,American Rescue Plan,2021-03-11,day,90,2,moderada,USA_2021_01_06; USA_2020_12_27,Invasao do Capitolio; Segundo pacote fiscal Covid,-64; -74,True
USA_2021_03_11,USA,United States,American Rescue Plan,2021-03-11,day,180,3,alta,USA_2021_01_06; USA_2020_12_27; USA_2020_11_03,Invasao do Capitolio; Segundo pacote fiscal Covid; Eleicao Biden,-64; -74; -128,True
USA_2021_11_15,USA,United States,Infrastructure Investment and Jobs Act,2021-11-15,day,30,0,baixa,,,,False
USA_2021_11_15,USA,United States,Infrastructure Investment and Jobs Act,2021-11-15,day,90,0,baixa,,,,False
USA_2021_11_15,USA,United States,Infrastructure Investment and Jobs Act,2021-11-15,day,180,2,moderada,USA_2022_03; USA_2022_03_16,Ciclo de alta de juros do Fed; Primeira alta de juros do Fed no ciclo inflacionario,121; 121,True
USA_2022_03,USA,United States,Ciclo de alta de juros do Fed,2022-03-16,month,30,1,moderada,USA_2022_03_16,Primeira alta de juros do Fed no ciclo inflacionario,0,True
USA_2022_03,USA,United States,Ciclo de alta de juros do Fed,2022-03-16,month,90,1,moderada,USA_2022_03_16,Primeira alta de juros do Fed no ciclo inflacionario,0,True
USA_2022_03,USA,United States,Ciclo de alta de juros do Fed,2022-03-16,month,180,4,alta,USA_2022_03_16; USA_2022_06_15; USA_2021_11_15; USA_2022_08_16,Primeira alta de juros do Fed no ciclo inflacionario; Fed faz alta de 75 pontos-base; Infrastructure Investment and Jobs Act; Inflation Reduction Act,0; 91; -121; 153,True
USA_2022_03_16,USA,United States,Primeira alta de juros do Fed no ciclo inflacionario,2022-03-16,day,30,1,moderada,USA_2022_03,Ciclo de alta de juros do Fed,0,True
USA_2022_03_16,USA,United States,Primeira alta de juros do Fed no ciclo inflacionario,2022-03-16,day,90,1,moderada,USA_2022_03,Ciclo de alta de juros do Fed,0,True
USA_2022_03_16,USA,United States,Primeira alta de juros do Fed no ciclo inflacionario,2022-03-16,day,180,4,alta,USA_2022_03; USA_2022_06_15; USA_2021_11_15; USA_2022_08_16,Ciclo de alta de juros do Fed; Fed faz alta de 75 pontos-base; Infrastructure Investment and Jobs Act; Inflation Reduction Act,0; 91; -121; 153,True
USA_2022_06_15,USA,United States,Fed faz alta de 75 pontos-base,2022-06-15,day,30,0,baixa,,,,False
USA_2022_06_15,USA,United States,Fed faz alta de 75 pontos-base,2022-06-15,day,90,1,moderada,USA_2022_08_16,Inflation Reduction Act,62,True
USA_2022_06_15,USA,United States,Fed faz alta de 75 pontos-base,2022-06-15,day,180,3,alta,USA_2022_08_16; USA_2022_03; USA_2022_03_16,Inflation Reduction Act; Ciclo de alta de juros do Fed; Primeira alta de juros do Fed no ciclo inflacionario,62; -91; -91,True
USA_2022_08_16,USA,United States,Inflation Reduction Act,2022-08-16,day,30,0,baixa,,,,False
USA_2022_08_16,USA,United States,Inflation Reduction Act,2022-08-16,day,90,1,moderada,USA_2022_06_15,Fed faz alta de 75 pontos-base,-62,True
USA_2022_08_16,USA,United States,Inflation Reduction Act,2022-08-16,day,180,3,alta,USA_2022_06_15; USA_2022_03; USA_2022_03_16,Fed faz alta de 75 pontos-base; Ciclo de alta de juros do Fed; Primeira alta de juros do Fed no ciclo inflacionario,-62; -153; -153,True
USA_2023_03_10,USA,United States,Colapso do Silicon Valley Bank,2023-03-10,day,30,0,baixa,,,,False
USA_2023_03_10,USA,United States,Colapso do Silicon Valley Bank,2023-03-10,day,90,2,moderada,USA_2023_05_01; USA_2023_06_03,First Republic Bank assumido pelo JPMorgan; Debt ceiling deal 2023,52; 85,True
USA_2023_03_10,USA,United States,Colapso do Silicon Valley Bank,2023-03-10,day,180,3,alta,USA_2023_05_01; USA_2023_06_03; USA_2023_07_26,First Republic Bank assumido pelo JPMorgan; Debt ceiling deal 2023; Fed atinge pico do ciclo de juros,52; 85; 138,True
USA_2023_05_01,USA,United States,First Republic Bank assumido pelo JPMorgan,2023-05-01,day,30,0,baixa,,,,False
USA_2023_05_01,USA,United States,First Republic Bank assumido pelo JPMorgan,2023-05-01,day,90,3,alta,USA_2023_06_03; USA_2023_03_10; USA_2023_07_26,Debt ceiling deal 2023; Colapso do Silicon Valley Bank; Fed atinge pico do ciclo de juros,33; -52; 86,True
USA_2023_05_01,USA,United States,First Republic Bank assumido pelo JPMorgan,2023-05-01,day,180,3,alta,USA_2023_06_03; USA_2023_03_10; USA_2023_07_26,Debt ceiling deal 2023; Colapso do Silicon Valley Bank; Fed atinge pico do ciclo de juros,33; -52; 86,True
USA_2023_06_03,USA,United States,Debt ceiling deal 2023,2023-06-03,day,30,0,baixa,,,,False
USA_2023_06_03,USA,United States,Debt ceiling deal 2023,2023-06-03,day,90,3,alta,USA_2023_05_01; USA_2023_07_26; USA_2023_03_10,First Republic Bank assumido pelo JPMorgan; Fed atinge pico do ciclo de juros; Colapso do Silicon Valley Bank,-33; 53; -85,True
USA_2023_06_03,USA,United States,Debt ceiling deal 2023,2023-06-03,day,180,3,alta,USA_2023_05_01; USA_2023_07_26; USA_2023_03_10,First Republic Bank assumido pelo JPMorgan; Fed atinge pico do ciclo de juros; Colapso do Silicon Valley Bank,-33; 53; -85,True
USA_2023_07_26,USA,United States,Fed atinge pico do ciclo de juros,2023-07-26,day,30,0,baixa,,,,False
USA_2023_07_26,USA,United States,Fed atinge pico do ciclo de juros,2023-07-26,day,90,2,moderada,USA_2023_06_03; USA_2023_05_01,Debt ceiling deal 2023; First Republic Bank assumido pelo JPMorgan,-53; -86,True
USA_2023_07_26,USA,United States,Fed atinge pico do ciclo de juros,2023-07-26,day,180,3,alta,USA_2023_06_03; USA_2023_05_01; USA_2023_03_10,Debt ceiling deal 2023; First Republic Bank assumido pelo JPMorgan; Colapso do Silicon Valley Bank,-53; -86; -138,True
USA_2024_09_18,USA,United States,Fed inicia ciclo de corte de juros,2024-09-18,day,30,0,baixa,,,,False
USA_2024_09_18,USA,United States,Fed inicia ciclo de corte de juros,2024-09-18,day,90,1,moderada,USA_2024_11,Eleicao presidencial,58,True
USA_2024_09_18,USA,United States,Fed inicia ciclo de corte de juros,2024-09-18,day,180,1,moderada,USA_2024_11,Eleicao presidencial,58,True
USA_2024_11,USA,United States,Eleicao presidencial,2024-11-15,month,30,0,baixa,,,,False
USA_2024_11,USA,United States,Eleicao presidencial,2024-11-15,month,90,1,moderada,USA_2024_09_18,Fed inicia ciclo de corte de juros,-59,True
USA_2024_11,USA,United States,Eleicao presidencial,2024-11-15,month,180,1,moderada,USA_2024_09_18,Fed inicia ciclo de corte de juros,-59,True
