event_id,country_code,country_name,event_name,event_anchor_date,event_date_precision,window_days,nearby_event_count,contamination_level,nearby_event_ids,nearby_event_names,nearby_event_distance_days,is_contaminated_window
ARG_2022_08_03,ARG,Argentina,Posse de Sergio Massa na Economia,2022-08-03,day,180,2,moderada,ARG_2022_07_02; ARG_2022_03,Renuncia de Martin Guzman; Renegociacao com FMI,-32; -140,True
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,2023-08-14,day,30,1,moderada,ARG_2023_08,Primarias com Milei forte,2,True
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,2023-08-14,day,90,1,moderada,ARG_2023_08,Primarias com Milei forte,2,True
ARG_2023_08_14,ARG,Argentina,Desvalorizacao pos-PASO,2023-08-14,day,180,6,alta,ARG_2023_08; ARG_2023_11_19; ARG_2023_12_12; ARG_2023_12; ARG_2023_12_20; ARG_2024_01_24,Primarias com Milei forte; Eleicao Milei; Pacote Caputo e forte desvalorizacao; Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Greve geral contra reformas,2; 97; 120; 124; 128; 163,True
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,2023-08-16,month,30,1,moderada,ARG_2023_08_14,Desvalorizacao pos-PASO,-2,True
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,2023-08-16,month,90,1,moderada,ARG_2023_08_14,Desvalorizacao pos-PASO,-2,True
ARG_2023_08,ARG,Argentina,Primarias com Milei forte,2023-08-16,month,180,6,alta,ARG_2023_08_14; ARG_2023_11_19; ARG_2023_12_12; ARG_2023_12; ARG_2023_12_20; ARG_2024_01_24,Desvalorizacao pos-PASO; Eleicao Milei; Pacote Caputo e forte desvalorizacao; Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Greve geral contra reformas,-2; 95; 118; 122; 126; 161,True
ARG_2023_11_19,ARG,Argentina,Eleicao Milei,2023-11-19,day,30,2,moderada,ARG_2023_12_12; ARG_2023_12,Pacote Caputo e forte desvalorizacao; Desvalorizacao inicial do peso,23; 27,True
ARG_2023_11_19,ARG,Argentina,Eleicao Milei,2023-11-19,day,90,4,alta,ARG_2023_12_12; ARG_2023_12; ARG_2023_12_20; ARG_2024_01_24,Pacote Caputo e forte desvalorizacao; Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Greve geral contra reformas,23; 27; 31; 66,True
ARG_2023_11_19,ARG,Argentina,Eleicao Milei,2023-11-19,day,180,7,alta,ARG_2023_12_12; ARG_2023_12; ARG_2023_12_20; ARG_2024_01_24; ARG_2023_08; ARG_2023_08_14; ARG_2024_04_30,Pacote Caputo e forte desvalorizacao; Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara,23; 27; 31; 66; -95; -97; 163,True
ARG_2023_12_12,ARG,Argentina,Pacote Caputo e forte desvalorizacao,2023-12-12,day,30,3,alta,ARG_2023_12; ARG_2023_12_20; ARG_2023_11_19,Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Eleicao Milei,4; 8; -23,True
ARG_2023_12_12,ARG,Argentina,Pacote Caputo e forte desvalorizacao,2023-12-12,day,90,4,alta,ARG_2023_12; ARG_2023_12_20; ARG_2023_11_19; ARG_2024_01_24,Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas,4; 8; -23; 43,True
ARG_2023_12_12,ARG,Argentina,Pacote Caputo e forte desvalorizacao,2023-12-12,day,180,7,alta,ARG_2023_12; ARG_2023_12_20; ARG_2023_11_19; ARG_2024_01_24; ARG_2023_08; ARG_2023_08_14; ARG_2024_04_30,Desvalorizacao inicial do peso; DNU de desregulacao de Milei; Eleicao Milei; Greve geral contra reformas; Primarias com Milei forte; Desvalorizacao pos-PASO; Aprovacao inicial da Lei Bases na Camara,4; 8; -23; 43; -118; -120; 140,True
