country_code,country_name,date,series_slug,series_code,series_name,value,source
ARG,Argentina,2016-02-25,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-02-26,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-02-27,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-02-28,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-02-29,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-01,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-02,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-03,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-04,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-05,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-06,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-07,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-08,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-09,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-10,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-11,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-12,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-13,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-14,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-15,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-16,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-17,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-18,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-19,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-20,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,Bluelytics
ARG,Argentina,2016-03-21,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-22,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-23,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-24,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-25,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-26,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-27,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-28,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-29,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-30,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-03-31,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-01,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-02,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-03,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-04,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-05,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-06,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-07,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-08,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-09,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-10,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-11,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-12,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-13,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-14,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-15,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-16,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-17,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-18,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-19,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-20,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-21,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-22,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-23,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-24,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-25,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-26,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-27,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-28,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-29,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-04-30,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-01,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-02,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-03,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-04,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-05,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-06,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-07,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-08,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-09,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-10,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-11,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-12,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-13,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-14,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-15,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-16,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-17,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-18,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-19,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-20,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-21,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-22,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-23,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-24,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-25,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-26,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-27,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-28,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-29,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
ARG,Argentina,2016-05-30,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,Bluelytics
