event_id,country_code,country_name,event_name,event_category,event_subcategory,event_start_date,event_end_date,event_year,event_date_precision,indicator_group,indicator_slug,indicator_name,indicator_unit,indicator_source,previous_year,event_year_value,next_year,previous_year_value,next_year_value,change_from_previous_year,change_to_next_year,previous_year_z_score,event_year_z_score,next_year_z_score,z_change_from_previous_year,z_change_to_next_year
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2018,9955.97478680428,2020,11752.7998922979,8535.59938004389,-1796.8251054936209,-1420.3754067603895,-0.2541229055538199,-1.141044495052926,-1.842148686884264,-0.886921589499106,-0.7011041918313381
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2018,53.5483043492339,2020,34.2772237131003,42.0150947376509,19.271080636133604,-11.533209611583004,-0.8308018557428881,-0.5230041963310159,-0.7072125960040287,0.3077976594118722,-0.18420839967301283
ARG_2019_09_01,ARG,Argentina,Reintroducao de controles cambiais,economy,exchange_rate_inflation,2019-09-01,2019-09-01,2019,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2018,9.843,2020,9.22,11.461,0.6229999999999993,1.6180000000000003,0.6107502454014984,1.0213884958711008,2.087861512339508,0.41063825046960245,1.066473016468407
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2018,-2.00086100285785,2020,-2.61739646282038,-9.9004848136464,0.6165354599625301,-7.899623810788551,-0.4659701191071814,-0.3537478138847595,-1.7916440128973874,0.11222230522242188,-1.437896199012628
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2018,9955.97478680428,2020,11752.7998922979,8535.59938004389,-1796.8251054936209,-1420.3754067603895,-0.2541229055538199,-1.141044495052926,-1.842148686884264,-0.886921589499106,-0.7011041918313381
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2018,53.5483043492339,2020,34.2772237131003,42.0150947376509,19.271080636133604,-11.533209611583004,-0.8308018557428881,-0.5230041963310159,-0.7072125960040287,0.3077976594118722,-0.18420839967301283
ARG_2019_10_27,ARG,Argentina,Eleicao Alberto Fernandez,politics,election,2019-10-27,2019-10-27,2019,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2018,9.843,2020,9.22,11.461,0.6229999999999993,1.6180000000000003,0.6107502454014984,1.0213884958711008,2.087861512339508,0.41063825046960245,1.066473016468407
ARG_2020_03,ARG,Argentina,Pandemia Covid,external_shock,health_crisis,2020-03-01,2020-03-31,2020,month,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2019,-9.9004848136464,2021,-2.00086100285785,10.4418119882506,-7.899623810788551,20.342296801897,-0.3537478138847595,-1.7916440128973874,1.9110780345357363,-1.437896199012628,3.7027220474331237
ARG_2020_03,ARG,Argentina,Pandemia Covid,external_shock,health_crisis,2020-03-01,2020-03-31,2020,month,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2019,8535.59938004389,2021,9955.97478680428,10738.0179223384,-1420.3754067603895,2202.41854229451,-1.141044495052926,-1.842148686884264,-0.755024209214233,-0.7011041918313381,1.087124477670031
ARG_2020_03,ARG,Argentina,Pandemia Covid,external_shock,health_crisis,2020-03-01,2020-03-31,2020,month,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2019,42.0150947376509,2021,53.5483043492339,48.4093786255199,-11.533209611583004,6.394283887869001,-0.5230041963310159,-0.7072125960040287,-0.6050831071879829,-0.18420839967301283,0.10212948881604589
ARG_2020_03,ARG,Argentina,Pandemia Covid,external_shock,health_crisis,2020-03-01,2020-03-31,2020,month,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2019,11.461,2021,9.843,8.736,1.6180000000000003,-2.7249999999999996,1.0213884958711008,2.087861512339508,0.2917311230463013,1.066473016468407,-1.7961303892932066
ARG_2020_05_22,ARG,Argentina,Default da divida soberana,economy,debt,2020-05-22,2020-05-22,2020,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2019,-9.9004848136464,2021,-2.00086100285785,10.4418119882506,-7.899623810788551,20.342296801897,-0.3537478138847595,-1.7916440128973874,1.9110780345357363,-1.437896199012628,3.7027220474331237
ARG_2020_05_22,ARG,Argentina,Default da divida soberana,economy,debt,2020-05-22,2020-05-22,2020,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2019,8535.59938004389,2021,9955.97478680428,10738.0179223384,-1420.3754067603895,2202.41854229451,-1.141044495052926,-1.842148686884264,-0.755024209214233,-0.7011041918313381,1.087124477670031
ARG_2020_05_22,ARG,Argentina,Default da divida soberana,economy,debt,2020-05-22,2020-05-22,2020,day,inflation,inflation_annual_pct,"Inflation, consumer prices (annual %)",annual_pct,World Bank API,2019,42.0150947376509,2021,53.5483043492339,48.4093786255199,-11.533209611583004,6.394283887869001,-0.5230041963310159,-0.7072125960040287,-0.6050831071879829,-0.18420839967301283,0.10212948881604589
ARG_2020_05_22,ARG,Argentina,Default da divida soberana,economy,debt,2020-05-22,2020-05-22,2020,day,unemployment,unemployment_pct,"Unemployment, total (% of total labor force)",annual_pct,World Bank API,2019,11.461,2021,9.843,8.736,1.6180000000000003,-2.7249999999999996,1.0213884958711008,2.087861512339508,0.2917311230463013,1.066473016468407,-1.7961303892932066
ARG_2020_08_04,ARG,Argentina,Acordo de reestruturacao da divida,economy,debt,2020-08-04,2020-08-04,2020,day,gdp,gdp_growth_annual_pct,GDP growth (annual %),annual_pct,World Bank API,2019,-9.9004848136464,2021,-2.00086100285785,10.4418119882506,-7.899623810788551,20.342296801897,-0.3537478138847595,-1.7916440128973874,1.9110780345357363,-1.437896199012628,3.7027220474331237
ARG_2020_08_04,ARG,Argentina,Acordo de reestruturacao da divida,economy,debt,2020-08-04,2020-08-04,2020,day,gdp,gdp_per_capita_current_usd,GDP per capita (current US$),current_usd,World Bank API,2019,8535.59938004389,2021,9955.97478680428,10738.0179223384,-1420.3754067603895,2202.41854229451,-1.141044495052926,-1.842148686884264,-0.755024209214233,-0.7011041918313381,1.087124477670031
