country_code,country_name,year,indicator_slug,indicator_code,indicator_name,value,source
BRA,Brazil,2017,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",12.792,World Bank API
BRA,Brazil,2016,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",11.58,World Bank API
USA,United States,2025,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.198,World Bank API
USA,United States,2024,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.022,World Bank API
USA,United States,2023,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.638,World Bank API
USA,United States,2022,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.65,World Bank API
USA,United States,2021,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",5.349,World Bank API
USA,United States,2020,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",8.055,World Bank API
USA,United States,2019,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.669,World Bank API
USA,United States,2018,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",3.896,World Bank API
USA,United States,2017,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.355,World Bank API
USA,United States,2016,unemployment_pct,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",4.869,World Bank API
ARG,Argentina,2025,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,World Bank API
ARG,Argentina,2024,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-1.34293072157739,World Bank API
ARG,Argentina,2023,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-1.85578803046339,World Bank API
ARG,Argentina,2022,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.02074537534855,World Bank API
ARG,Argentina,2021,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),10.4418119882506,World Bank API
ARG,Argentina,2020,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-9.9004848136464,World Bank API
ARG,Argentina,2019,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-2.00086100285785,World Bank API
ARG,Argentina,2018,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-2.61739646282038,World Bank API
ARG,Argentina,2017,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.81850297775918,World Bank API
ARG,Argentina,2016,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-2.08032784377811,World Bank API
BRA,Brazil,2025,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,World Bank API
BRA,Brazil,2024,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.41931516597739,World Bank API
BRA,Brazil,2023,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.24165532813583,World Bank API
BRA,Brazil,2022,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.01669435408112,World Bank API
BRA,Brazil,2021,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.7626043797061,World Bank API
BRA,Brazil,2020,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-3.27675879612903,World Bank API
BRA,Brazil,2019,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.22077782271943,World Bank API
BRA,Brazil,2018,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.78366676137003,World Bank API
BRA,Brazil,2017,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.32286905390815,World Bank API
BRA,Brazil,2016,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-3.2759169063211,World Bank API
USA,United States,2025,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,World Bank API
USA,United States,2024,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.79300127716779,World Bank API
USA,United States,2023,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.88755600749487,World Bank API
USA,United States,2022,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.51237531986017,World Bank API
USA,United States,2021,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.05505293244555,World Bank API
USA,United States,2020,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-2.16302914036166,World Bank API
USA,United States,2019,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.58382533412825,World Bank API
USA,United States,2018,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.96650506901305,World Bank API
USA,United States,2017,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.45762229852507,World Bank API
USA,United States,2016,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.81945147788167,World Bank API
ARG,Argentina,2025,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),,World Bank API
ARG,Argentina,2024,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),13969.7836603737,World Bank API
ARG,Argentina,2023,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),14261.8465667948,World Bank API
ARG,Argentina,2022,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),13962.1894087223,World Bank API
ARG,Argentina,2021,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,GDP per capita (current US$),10738.0179223384,World Bank API
